OID_,CID,name,POINT_X,POINT_Y,OID1
71,19,grspn71,-68.559098923999954,44.044819488000030,
72,19,grspn72,-68.556034352999973,44.040831294000043,
73,19,grspn73,-68.558900527999981,44.042294114000072,
74,19,grspn74,-68.557156758999952,44.045069558000080,
75,19,grspn75,-68.554900115999942,44.042721355000026,
76,19,grspn76,-68.558518224999943,44.044843984000067,
77,19,grspn77,-68.557367961999944,44.044615495000073,
78,19,grspn78,-68.556239259999984,44.043409707000080,
79,19,grspn79,-68.556166018999988,44.044829027000048,
80,19,grspn80,-68.557841463999978,44.044969409000032,
81,19,grspn81,-68.557682105999959,44.040880277000042,
82,19,grspn82,-68.555941985999937,44.040136763000078,
83,19,grspn83,-68.556148267999959,44.043181265000044,
84,19,grspn84,-68.557465747999970,44.041209967000043,
85,19,grspn85,-68.556320027999959,44.040985113000033,
86,19,grspn86,-68.556161305999979,44.040437991000033,
87,19,grspn87,-68.558219526999949,44.043780667000078,
88,19,grspn88,-68.556419603999984,44.044225462000043,
89,19,grspn89,-68.558720041999948,44.044834504000050,
90,19,grspn90,-68.556852628999934,44.043861880000065,
91,19,grspn91,-68.557127672999968,44.042196850000039,
92,19,grspn92,-68.558295863999945,44.041835292000030,
93,19,grspn93,-68.556096236999963,44.043681293000077,
94,19,grspn94,-68.557916598999952,44.044826609000040,
95,19,grspn95,-68.559029263999946,44.040641117000064,
96,19,grspn96,-68.557376683999962,44.041904656000042,
97,19,grspn97,-68.554767742999957,44.042580625000028,
98,19,grspn98,-68.557679962999941,44.043466464000062,
99,19,grspn99,-68.558189906999985,44.044049194000081,
100,19,grspn100,-68.555890660999978,44.042266884000071,
101,19,grspn101,-68.555673819999981,44.039641661000076,
102,19,grspn102,-68.557783102999963,44.043046723000032,
103,19,grspn103,-68.558643373999985,44.044062386000064,
104,19,grspn104,-68.555945198999950,44.040332045000071,
105,19,grspn105,-68.558047639999984,44.042968469000073,
106,19,grspn106,-68.558431829999961,44.040698610000049,
107,19,grspn107,-68.555353355999955,44.043778042000042,
108,19,grspn108,-68.558478151999964,44.043786477000026,
109,19,grspn109,-68.554632678999951,44.042820551000034,
110,19,grspn110,-68.556677865999973,44.043415753000033,
111,19,grspn111,-68.555390835999958,44.043400485000063,
112,19,grspn112,-68.556578337999952,44.044210362000058,
113,19,grspn113,-68.555767814999967,44.043815268000060,
114,19,grspn114,-68.557094753999934,44.041825647000053,
115,19,grspn115,-68.556163337999976,44.041556763000074,
116,19,grspn116,-68.556139662999954,44.039548998000043,
117,19,grspn117,-68.556196820999958,44.042098478000071,
118,19,grspn118,-68.556987624999977,44.043811914000059,
119,19,grspn119,-68.557603233999941,44.040352931000029,
120,19,grspn120,-68.556149764999986,44.043059403000029,
121,19,grspn121,-68.557495530999972,44.040466119000030,
